GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
users,com.learning.users.model,User,0,66,0,0,0,28,0,19,0,19
users,com.learning.users.model,UserNotFoundException,5,0,0,0,2,0,1,0,1,0
users,com.learning.users.model,UserController,17,53,0,0,5,15,2,3,2,3
users,com.learning.users.repository,UserRepositoryInMemory,18,359,6,36,4,70,6,29,0,14
